Year,Region,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value,Ethnicity
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,5666.42359821287,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,6130.64569762067,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,6251.57684180588,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,overall,nation,276,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,total,nation,303,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,132.587833588232,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,150.466880200892,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,144.184807309543,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,158.289842807215,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,overall,nation,7853.221526348,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,total,nation,7848.772212892,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,3194.71661041468,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,3406.71488884498,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,4102.59142223058,American Indian or Alaska Native
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,4100.26706207365,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,overall,nation,7142,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,total,nation,7075,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,702.647166400281,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,741.117042785386,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,671.851203114109,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,665.548482502425,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,absolute number,overall,nation,217061.993500441,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,absolute number,total,nation,189403.400786814,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,16803.1933424276,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,16419.4769393928,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,20419.1209022148,American Indian or Alaska Native
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,17817.2644486873,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,overall,nation,11025,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,total,nation,12039,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,570.059400390026,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,641.047955261065,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,459.82351952467,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,502.114771116327,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,overall,nation,282244.436248964,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,total,nation,285690.9596035,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,11289.6027178845,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,12204.2694799027,Asian or Pacific Islander
